"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"SAFİR'den Atatürk Mah. Eşyalı DoğalGazlı Kiralık 1+1 Daire","15.000 TL","109159-193","12-09-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"Üçkuyular Meydanda Geniş 2+1 Daire","28.000 TL","144273-115","17-09-2024","Daire","2 + 1","120 m2","2. Kat","10 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","","","500 TL","","56.000 TL","Doğalgaz","","","Evet","","","",""
"HAS CETINLERDEN KIRALIK 2+1DOGALGAZLI ARAKAT DAIRE","15.000 TL","143812-17","16-08-2024","Daire","2 + 1","95 m2","2. Kat","11 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","","","","","","","","Uygun değil","","",""
"MARKA'DAN ANACADDE&KAMPÜS YAKINI D.GAZLI 3+1 KİRALIK DAİRE","27.000 TL","71024-1012","15-09-2024","Daire","3 + 1","120 m2","9. Kat","21 Yaşında","Kombi","10 Katlı","Eşyalı","1","","","Boş","","","Güney","","","","","","Uygun değil","","",""
"İZMİR BUCA KURUÇEŞME","15.000 TL","37745-1803","24-08-2024","Daire","1 + 1","55 m2","Yüksek Giriş","5 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","100 TL","","15.000 TL","Doğalgaz","","","Evet","","","",""
"***AY GAYRİMENKULDEN BUCA ŞİRİNKAPIDA 3+1 BAKIMLI DAİRE ***","24.000 TL","144455-49","11-08-2024","Daire","3 + 1","150 m2","Yüksek Giriş","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","","100 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"BUCA GÜNLÜK KİRALIK DAİRE HİJYENİK TEMİZ","300.000 TL","138098-26","17-08-2024","Daire","4 + 1","90 m2","Ara Kat","3 Yaşında","Klima","2 Katlı","","1","","","","","","","","","","","","","","",""
"REF’DEN DOĞUŞ CAD’DE ARAKAT ASANSÖRLÜ DOĞALGAZLI KİRALIK 1+1","16.000 TL","144696-88","17-09-2024","Daire","1 + 1","45 m2","2. Kat","3 Yaşında","Kombi","5 Katlı","Eşyalı","1","Betonarme","Sıfır","Boş","","","Kuzey, Güney, Doğu","","Doğalgaz","","","Evet","","","",""
"TURPA AYEL YAPIDA 1+1 KİRALIK","17.500 TL","149792-3","11-09-2024","Daire","1 + 1","50 m2","Ara Kat","10 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","100 TL","","17.500 TL","Doğalgaz","","","Evet","","","",""
"ÜNİVERSİTEYE VE HASANAĞA PARKINA YÜRÜME MESAFESİNDE","17.500 TL","0-42979252","07-10-2024","Daire","1 + 1","57 m2","2. Kat","1 Yaşında","Klima","2 Katlı","Eşyalı","1","Betonarme","Sıfır","Boş","","","Kuzey, Güney, Doğu, Batı","12.500 TL","Doğalgaz","","","","","","",""
"BUCADA KİRALIK EŞYALI HAVUZLU 1+0","17.250 TL","146529-33","09-09-2024","Residence","1 + 0","25 m2","2. Kat","5 Yaşında","Kombi","7 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"MARKA'DAN ANACADDE&KAMPÜS YAKINI KLİMALI KİRALIK DAİRE","12.000 TL","71024-1014","15-09-2024","Daire","1 + 1","55 m2","Zemin","4 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"AY GAYRİMENKUL'DEN BUCA DA 1+1 SIFIR DAİRE","16.000 TL","144455-50","11-08-2024","Daire","1 + 1","60 m2","1. Kat","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","100 TL","Doğu, Batı","","","","","","Uygun değil","Evet (Site Adı Belirtilmemiş)","",""
"REF'DEN DOĞUŞ CAD'DE 145 m2 D.GAZLI BALKONLU KİRALIK 3+1","20.000 TL","144696-112","20-08-2024","Daire","3 + 1","155 m2","2. Kat","16 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","","","Boş","","150 TL","Kuzey, Güney, Doğu, Batı","","","","","","Uygun değil","","",""
"VİRAJ EMLAK MÜSTAKİL EV 2+1 110m BAHÇELİ BELENBAŞI BUCA","17.000 TL","98587-1425","27-08-2024","Daire","2 + 1","115 m2","2. Kat","5 Yaşında","Soba","2 Katlı","","1","","","","","","","17.000 TL","","","","Evet","","","",""
"Buca Kuruçeşme Mh. 1+1 Doğalgazlı Asansörlü Full Eşyalı Kiralık Daire","16.000 TL","24511-8695","17-08-2024","Daire","1 + 1","50 m2","1. Kat","7 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Mülk Sahibi","","","","16.000 TL","Doğalgaz","","","Evet","","","",""
"MARKA'DAN ANACADDE&KAMPÜS YAKINI DOĞAL GAZLI EŞYALI KİRALIK DAİR","15.500 TL","71024-1015","15-09-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"Adatepe dokuzçeşmelerde 1+1 eşyalı daire","15.500 TL","144273-113","06-09-2024","Daire","1 + 1","60 m2","1. Kat","7 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","250 TL","","15.500 TL","","","","Evet","","","",""
"MARKA'DAN ANACADDE&KAMPÜS YAKINI EŞYALI KLİMALI KİRALIK DAİRE","13.000 TL","71024-1016","15-09-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Klima","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"ER YAPI EMLAK OFİSİNDEN 2+1 KLİMALI T.TEPE KAMPÜS YAKINI","20.000 TL","68864-2423","10-10-2024","Daire","2 + 1","60 m2","1. Kat","5 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"İZMİR BUCA ATATÜRK MAH. DOĞALGAZLI EŞYALI KİRALIK 1+1 DAİRE","16.500 TL","78202-2905","11-08-2024","Daire","1 + 1","61 m2","2. Kat","4 Yaşında","Kombi","2 Katlı","Eşyalı","1","","","Boş","","","Batı","","","","","","Uygun değil","","",""
"BUCA KURUÇEŞME MEYDAN'DA FULL EŞYALI YÜKSEK GİRİŞ","16.000 TL","142618-136","17-09-2024","Daire","1 + 1","55 m2","Yüksek Giriş","1 Yaşında","Klima","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","200 TL","Kuzey, Güney, Doğu","15.000 TL","","","","Evet","","","",""
