"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"REF'DEN HAVUZLU SİTEDE LÜKS DİZAYN D.GAZLI KLİMALI BALKONLU 1+1","22.000 TL","144696-121","20-08-2024","Daire","1 + 1","55 m2","3. Kat","Sıfır Bina","Yerden Isıtma","9 Katlı","Eşyalı","1","","","Boş","","2 TL","Güney, Doğu","","","","","","Uygun değil","Evet (Site Adı Belirtilmemiş)","",""
"Buca İşçievleri Barış Mh. 2+1 80M2 Doğalgazlı Kiralık Arakat Daire","18.000 TL","24511-9058","07-10-2024","Daire","2 + 1","80 m2","1. Kat","25 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","50 TL","Kuzey, Doğu","18.000 TL","Doğalgaz","","","Evet","","","",""
"ŞİRİNYER İZBAN YAKINI EŞYALI DOĞALGAZ'LI KİRALIK DAİRE","19.000 TL","102557-417","13-10-2024","Daire","2 + 1","80 m2","1. Kat","11 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","100 TL","","","","","","","","","",""
"KIZ ÖĞRENCİSİNE KİRALIK","20.000 TL","90977-935","25-08-2024","Daire","2 + 1","95 m2","Ara Kat","10 Yaşında","Belirtilmemiş","4 Katlı","Eşyalı Değil","1","","","","","1 TL","","20.000 TL","","","","Evet","","","",""
"İzmir Buca Akıncılar Mah. de 1+ 1 Kiralık Daire","17.000 TL","145402-46","20-08-2024","Daire","1 + 1","55 m2","1. Kat","2 Yaşında","Isıtma Yok","4 Katlı","Eşyalı Değil","1","","","Boş","","","","","","","","","Uygun değil","","",""
"GÜNEŞ EMLAKTAN 1+1 40m DGAZLI ASANSÖR G.KAMERALI BİNA LÜKS DAİRE","14.000 TL","130324-776","15-10-2024","Daire","1 + 1","40 m2","4. Kat","3 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","50 TL","Güney","","","","","","Uygun değil","","",""
"AVA EMLAK'TAN ŞİRİNYER'DE 3+1 145 M2 ASANSÖRLÜ GENİŞ DAİRE","30.000 TL","85533-1516","23-08-2024","Daire","3 + 1","145 m2","3. Kat","10 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","","İkinci El","Boş","","500 TL","","","","","","Evet","","","",""
"BUCA-İNÖNÜ MH.DE KİRALIK 3+1 DUBLEKS BÜYÜK TERASLI DAİRE","30.000 TL","146515-94","02-09-2024","Daire","3 + 1","150 m2","Ara Kat","1 Yaşında","Kombi","3 Katlı","Eşyalı Değil","2","","","","","","","30.000 TL","Doğalgaz","","","","","","",""
"YAYLACIKDA 3+1 EŞYALI KİRALIK DAİRE","23.000 TL","146020-48","27-08-2024","Daire","3 + 1","130 m2","2. Kat","21 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"BUCA MENDERES CADDESİ ÜZERİNDE 3+1 ARAKAT DOGALGAZLI BALKONLU DAİRE","20.000 TL","142604-61","15-10-2024","Daire","3 + 11","125 m2","Ara Kat","25 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","100 TL","Kuzey, Güney, Doğu, Batı","20.000 TL","Doğalgaz","","","Evet","","","",""
"ŞİRİNYER İZBAN DİBİNDE 2+1 EŞYALI KİRALIK DAİRE","24.000 TL","145398-47","01-10-2024","Daire","2 + 1","90 m2","1. Kat","12 Yaşında","Kombi","4 Katlı","","1","","","","","","","","","","","","","","",""
"KOZAĞAÇ MAH.SIFIR DOĞALGAZLI BAYAN ÖĞRENCİYE KİRALIK 1+1 DAİRE","13.000 TL","143815-133","10-08-2024","Daire","1 + 1","70 m2","2. Kat","3 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","Sıfır","","","","","13.000 TL","Doğalgaz","","","Evet","","","",""
"TURYAP BUCA'DAN ÇAMLIPINAR MAH.DE ARA KAT EŞYALI KİRALIK 2+1 DAİ","18.250 TL","15356-5679","18-09-2024","Daire","2 + 1","100 m2","2. Kat","13 Yaşında","Kombi","3 Katlı","Eşyalı Değil","2","","İkinci El","Boş","","20 TL","","18.750 TL","Doğalgaz","","","","","","Hayır",""
"BUCA-İNÖNÜ DE KİRALIK DUBLEKS 4+1DAİRE","30.000 TL","146515-124","02-09-2024","Daire","4 + 1","180 m2","3. Kat","Sıfır Bina","Kombi","3 Katlı","","2","","","","","","","","","","","","","","",""
"TURPA AYEL YAPIDA 2+1 KİRALIK","18.000 TL","149792-1","11-09-2024","Daire","2 + 1","150 m2","Ara Kat","15 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","100 TL","","18.000 TL","Doğalgaz","","","Evet","","","",""
"ADATEPEDE GÜZEL LOKASYONLU 2+1","11.000 TL","0-43369919","21-09-2024","Daire","2 + 1","90 m2","En Üst Kat","10 Yaşında","Merkezi (Pay Ölçer)","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Kiracılı","","250 TL","Güney","13.000 TL","Doğalgaz","","","","","","",""
"MEYDAN YAKINI ARAKAT DOĞALGAZLI SIFIR OTOMATİK PANJURLU 1+1","13.500 TL","144837-46","14-08-2024","Daire","1 + 1","56 m2","1. Kat","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","200 TL","Güney","","","","","","Uygun değil","","",""
"Oyak Buca 1 Etap Konutları Kiralık 3+1 bahçe katı","45.000 TL","31745-19197","12-08-2024","Daire","3 + 1","178 m2","Giriş Katı","3 Yaşında","Merkezi (Pay Ölçer)","12 Katlı","Eşyalı Değil","2","","","Boş","Kat Mülkiyeti","730 TL","Kuzey","45.000 TL","","","","","","oyak Buca 1.Etap","",""
"Buca da Eşyalı Kiralık 1+1 Daire","15.500 TL","134059-111","02-08-2024","Daire","1 + 1","45 m2","Zemin","5 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","","50 TL","Batı","","","","","","Uygun değil","","",""
"BUCA-İNÖNÜ MH.DE KİRALIK 4+1 DUBLEKS BÜYÜK TERASLI DAİRE","30.000 TL","146515-136","03-09-2024","Daire","4 + 1","180 m2","3. Kat","1 Yaşında","Kombi","3 Katlı","Eşyalı Değil","2","","","Boş","","","","","","","","","Uygun değil","","",""
"Kiralık Dairemiz öğrenciye veya kamu.personeline","17.500 TL","0-43400233","10-10-2024","Daire","3 + 1","130 m2","En Üst Kat","29 Yaşında","Kombi","2 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","23.000 TL","Doğalgaz","","","","","","",""
"İZMİR BUCADA KONFORLU GÜNLÜK HAFTALIK KİRALIK DAİRELER","400 TL","138098-25","06-09-2024","Daire","3 + 1","90 m2","Yüksek Giriş","4 Yaşında","Klima","4 Katlı","","1","Betonarme","","Belirtilmemiş","","","","","","","","Evet","","","",""
"Buca Belediyesi Yakını Menderes Caddesi Üzeri Kiralık 2+1 Daire","17.000 TL","54684-3436","08-10-2024","Daire","2 + 1","97 m2","En Üst Kat","41 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","","Kat Mülkiyeti","100 TL","Batı","17.000 TL","Doğalgaz","","","Evet","","","",""
"ONE HOUSE GAYRİMENKUL DEN KİRALIK DAİRE","14.000 TL","144273-90","06-09-2024","Daire","1 + 1","65 m2","Ara Kat","5 Yaşında","Klima","6 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","200 TL","Güney","14.000 TL","Elektrik","","","Evet","","","",""
"BUCA ATATÜRK MAHALLESİNDE FULLEŞYALI KİRALIK ARAKAT 1+1 DAİRE","13.000 TL","140180-292","17-10-2024","Daire","1 + 1","45 m2","Ara Kat","4 Yaşında","Klima","4 Katlı","Eşyalı","1","","İkinci El","Boş","Kat İrtifakı","150 TL","Doğu","13.000 TL","Elektrik","","","Evet","","","",""
"Kuruçeme Pazar Yeri Karşısı Arakat Kombili Kiralık 2+0 Daire","14.000 TL","94107-1427","17-09-2024","Daire","2 + 0","65 m2","2. Kat","5 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat Mülkiyeti","","Kuzey, Güney","14.000 TL","Doğalgaz","","","Evet","","","",""
"GÜNEŞ'TEN 9 EYLÜL İKTİSAT 5DK EŞYALI 1+1 60M YÜKSEK GİRİŞ","18.000 TL","130324-194","15-10-2024","Daire","1 + 1","60 m2","4. Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","150 TL","","18.000 TL","Doğalgaz","","","","","","",""
"Buca Hasanağa Bahçesi Yakını 1+1 35m2 Klimalı Kiralık Daire","10.000 TL","24511-9027","07-10-2024","Daire","1 + 1","35 m2","2. Kat","7 Yaşında","Klima","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Güney","10.000 TL","Doğalgaz","","","Evet","","","",""
"YEŞİLBAĞLAR MAH. MEMURA EŞYALI&EŞYASIZ KİRALIK 2+1 DAİRE","15.500 TL","140664-60","26-09-2024","Daire","2 + 1","105 m2","4. Kat","26 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","","200 TL","Doğu, Batı","","","","","","Uygun değil","","",""
"HASANAĞA BAHÇESİNE 50MT GENİŞ FERAH 1+1","18.000 TL","144837-45","14-08-2024","Daire","1 + 1","60 m2","Yüksek Giriş","3 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","","250 TL","Güney","","","","","","Uygun değil","","",""
"BUCA-İNÖNÜ MH.DE KİRALIK 3+1 DUBLEKS BÜYÜK TERASLI DAİRE","30.000 TL","146515-137","03-09-2024","Daire","3 + 1","180 m2","3. Kat","1 Yaşında","Kombi","3 Katlı","Eşyalı Değil","2","","","Boş","","","","","","","","","Uygun değil","","",""
"2+1, İZBAN Yakını Kiralık Daire","13.000 TL","0-42226763","09-09-2024","Daire","2 + 1","100 m2","En Üst Kat","30 Yaşında","Isıtma Yok","4 Katlı","Eşyalı Değil","1","","","","","","","12.500 TL","","","","","","","",""
"SANE GAYRİMENKUL DEN BUCA ADATEPE DE HASANAĞA PARKİ YAKINI KİRALIK DAİRE","21.000 TL","144199-33","16-09-2024","Daire","2 + 1","85 m2","2. Kat","10 Yaşında","Klima","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","300 TL","","21.000 TL","Elektrik","","","Evet","","","",""
"Buca Çamlıpınar'da 2+1 Kiralık Daire","11.000 TL","51456-7202","11-10-2024","Daire","2 + 1","105 m2","En Üst Kat","20 Yaşında","Soba","4 Katlı","Eşyalı Değil","1","Betonarme","","Mülk Sahibi","Kat İrtifakı","","","12.000 TL","Kömür-Odun","","","","","","",""
"ŞİRİNYER UFUK MAHALLESİNE STÜDYO DAİRE 1+0 TUVALET BANYO","10.000 TL","27958-368","15-10-2024","Daire","1 + 0","55 m2","Yüksek Giriş","4 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","","","Kat Mülkiyeti","10 TL","","10.000 TL","Doğalgaz","","","","","","",""
"MARKA’DAN 1+1 EŞYALI KLİMALI KİRALIK DAİRE","13.500 TL","71024-1023","30-09-2024","Daire","1 + 1","50 m2","Ara Kat","8 Yaşında","Klima","3 Katlı","Eşyalı","1","","","","","","Güney","13.000 TL","Elektrik","","","","","","",""
"GÜNEŞ EMLAKTAN 2+1 80M D.GAZLI ASANSÖR OTOPARK BALKON SIFIR LÜKS","21.500 TL","130324-772","15-10-2024","Daire","2 + 1","80 m2","2. Kat","Sıfır Bina","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","100 TL","Güney, Doğu","","","","","","Uygun değil","","",""
"Buca hoca ahmet yesevi yurdunun yakinında eşyalı kiralık daire","16.000 TL","101303-379","09-10-2024","Daire","1 + 1","55 m2","1. Kat","10 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","120 TL","","16.000 TL","Doğalgaz","","","Evet","","","",""
"SAHİBİNDEN BUCA ÜNİVERSİTE YAKINI ARA KAT DOĞALGAZ SIFIR 1+1","18.000 TL","0-43315356","02-10-2024","Daire","1 + 1","65 m2","2. Kat","Sıfır Bina","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","50 TL","Batı","15.000 TL","Doğalgaz","","","","","","",""
"SAHİBİNDEN DEÜ TINAZTEPE KAMPÜSE SIFIR KONUMDA KLİMALI DAİRE","14.000 TL","0-43382474","19-10-2024","Daire","1 + 1","50 m2","Giriş Katı","4 Yaşında","Klima","6 Katlı","Eşyalı","1","Betonarme","Sıfır","Boş","","250 TL","","14.000 TL","Elektrik","41400","8","","","","",""
"Şirinyer'de günlük 800 1+1","15.000 TL","0-43387718","27-09-2024","Daire","1 + 1","50 m2","Yarı Bodrum","25 Yaşında","Klima","3 Katlı","Eşyalı","1","","","","","","","","","","","","","","",""
"Kozağaç pazaryerinde mükemmel konumda 3+1 eşyasız kiralık daire","22.000 TL","144273-116","18-09-2024","Daire","3 + 1","145 m2","2. Kat","25 Yaşında","Kat Kaloriferi","4 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","","150 TL","","22.000 TL","Doğalgaz","","","Evet","","","",""
"REF'DEN KAMPÜS KARŞISI EŞYALI KİRALİK 1+1 DAİRE","14.000 TL","144696-142","29-09-2024","Daire","1 + 1","55 m2","Bahçe Katı","4 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","150 TL","Güney, Doğu","","","","","","Uygun değil","","",""
"GOLDİA YAPIDAN TINAZTEPE KAMPÜSE YAKIN 1+1","15.500 TL","142618-161","01-10-2024","Daire","1 + 1","55 m2","Yüksek Giriş","5 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","","Boş","","150 TL","Kuzey, Güney, Doğu, Batı","15.500 TL","Doğalgaz","","","Evet","","","",""
"VİRAJ EMLAK KİRALIK SIFIR LÜX VİLLA 145m KAYNAKLAR MERKEZ BUCA","37.000 TL","98587-1439","23-09-2024","Villa","3 + 1","145 m2","","Sıfır Bina","Isı Pompası","2 Katlı","","1","","Sıfır","","","","","37.000 TL","","","","Evet","","","",""
"İzmir Buca Fırat Mahallesin' de 2+1 Kiralık Daire","20.000 TL","51456-7211","11-10-2024","Daire","2 + 1","125 m2","En Üst Kat","15 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","","","100 TL","","30.000 TL","Doğalgaz","","","","","","",""
"Buca'da Siteiçi Doğalgazlı Arakat Otoparklı 3 Balkonlu Geniş 3+1 Kiralık Daire ESNAFOĞLU'ndan...","26.000 TL","67273-3967","18-09-2024","Daire","3 + 1","180 m2","5. Kat","16 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","150 TL","","52.000 TL","Doğalgaz","","","Evet","","","",""
"Buca Çaldıran Mah.//Polisokulu Arkası Uçanyolyakını//Şirinyer İzbana 15dk Mesafede//Emekliye Daire","12.000 TL","85846-1866","12-10-2024","Daire","2 + 1","85 m2","Zemin","30 Yaşında","Soba","2 Katlı","","1","","","","Kat Mülkiyeti","","","12.000 TL","","","","","","","",""
"TURPA AYEL YAPI DAN 1+1 KİRALIK","16.000 TL","149792-10","09-10-2024","Daire","1 + 1","50 m2","1. Kat","8 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","150 TL","","17.500 TL","Doğalgaz","","","Evet","","","",""
"GÜNEŞ EMLAK'TAN ÜNİVERSİTE YAKINI FULL EŞYALI 1+1 KİRALIK DAİRE","14.000 TL","130324-775","15-10-2024","Daire","1 + 1","45 m2","2. Kat","5 Yaşında","Kombi","2 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"BUCA YILDIZ 1+1 45 M2 DOĞALGAZLI KİRALIK DAİRE","12.000 TL","97779-1026","15-10-2024","Daire","1 + 1","45 m2","Zemin","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","","100 TL","Doğu","","","","","","","","",""
"ŞİRİNYER İZBAN DİBİNDE 3+1 AÇIK MUTFAK Y.GİRİŞ BAHÇELİ D.GAZLI KİRALIK LÜKS DAİRE","26.000 TL","111716-1019","16-10-2024","Daire","3 + 1","135 m2","Yüksek Giriş","5 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","","Güney, Doğu, Batı","26.000 TL","Doğalgaz","","","","","","",""
"MARKA'DAN H.AĞA BAHÇESİ YAKINI 3+1 D.GAZLI BALKONLU KİRALIK DAİR","20.000 TL","71024-968","02-10-2024","Daire","3 + 1","105 m2","3. Kat","5 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","","Güney, Doğu","","","","","","Uygun değil","","",""
"ARGA'DAN BUCA ÇEVİK BİR'DE ZEMİN KAT 2+1 KİRALIK DAİRE.","13.500 TL","63598-131","03-10-2024","Daire","3 + 1","100 m2","Yüksek Giriş","25 Yaşında","Soba","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","Doğu","13.500 TL","Elektrik","","","","","","",""
"Barış Mh 1+1 Doğalgazl Asansörlü Balkonlu Kiralık Sıfır Daireler","20.000 TL","24511-9031","05-09-2024","Daire","1 + 1","55 m2","3. Kat","Sıfır Bina","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","100 TL","Güney, Doğu","20.000 TL","Doğalgaz","","","Evet","","","",""
"VİRAJ EMLAK ASANSÖRLÜ 1+1 50m ARA KAT EŞYALI DAİRE BUCA KURUÇEŞME","17.000 TL","98587-1444","26-09-2024","Daire","1 + 1","50 m2","8. Kat","7 Yaşında","Klima","9 Katlı","Eşyalı","1","","","","","","","17.000 TL","","","","Evet","","","",""
"Kampüse yürüme mesafesinde fırsat daire","15.500 TL","0-43357480","12-09-2024","Daire","1 + 1","50 m2","Ara Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı","1","Betonarme","","Boş","","150 TL","Kuzey, Doğu","16.000 TL","Doğalgaz","","","","","","",""
"1+1 Eşyalı kiralık daire","15.000 TL","0-43369517","14-09-2024","Daire","1 + 1","50 m2","2. Kat","6 Yaşında","Kombi","5 Katlı","Eşyalı","1","Betonarme","Sıfır","Boş","","150 TL","Kuzey","15.000 TL","Doğalgaz","","","","","","",""
"NEZİH SİTE İÇİ ''2+1'' FULL EŞYALI - OTOPARKLI KİRALIK DAİRE","26.000 TL","104457-8","17-09-2024","Daire","3 + 1","110 m2","3. Kat","15 Yaşında","Kombi","9 Katlı","Eşyalı","2","","","Boş","","400 TL","","26.000 TL","Doğalgaz","","","Evet","","Mavi Yaka Sitesi","",""
"GÜNEŞ'TEN 160m2 3+1 ŞİRİNYER İZBAN KARŞISI KİRALIK","36.000 TL","130324-784","15-10-2024","Daire","3 + 1","160 m2","2. Kat","16 Yaşında","Klima","4 Katlı","Eşyalı Değil","2","","","Boş","","","","","","","","","Uygun değil","","",""
"ADATEPE MH 1+1 KİRALİK","14.000 TL","14003-1478","22-09-2024","Daire","1 + 1","50 m2","1. Kat","15 Yaşında","Klima","3 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","","","Elektrik","","","","","","",""
"Buca Kuruçeşmede 1+1 Kiralık Daire","15.000 TL","51456-7222","11-10-2024","Daire","1 + 1","65 m2","Kot 2","6 Yaşında","Kombi","6 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","30.000 TL","Doğalgaz","","","Evet","","","",""
"KAMPÜS KARŞISI 2+0 YENİ EŞYALI KİRALIK DAİRE","18.000 TL","144696-28","04-10-2024","Daire","2 + 0","50 m2","2. Kat","4 Yaşında","Kombi","2 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"BUCA SEYFİ DEMİRSOY HAST. YANI 2+1 AÇIK MUTFAK BALKONLU D.GAZLI KLİMALI GENİŞ KİRALIK DAİRE","21.000 TL","111716-1066","15-10-2024","Daire","2 + 1","95 m2","1. Kat","8 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","","","Boş","","","Kuzey, Güney, Doğu","21.000 TL","Doğalgaz","","","","","","",""
"Buca Şirinyer'de Konak Tünel Çıkışı Sağa dönüşde A101 Alt tarafında 100m2 3+1 Daire","13.000 TL","85846-1846","07-10-2024","Daire","3 + 1","110 m2","3. Kat","30 Yaşında","Isıtma Yok","3 Katlı","","1","","","","","","","13.000 TL","","","","","","","",""
"MARKA'DAN ANACADDE&KAMPÜS YAKINI EŞYALI KLİMALI KİRALIK DAİRE","15.000 TL","71024-1020","02-10-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Klima","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"Miraç ıns kiralık sıfır daire","12.999 TL","0-43518419","10-10-2024","Daire","1 + 1","45 m2","1. Kat","Sıfır Bina","Kombi","2 Katlı","Eşyalı Değil","1","","","","","","","","","","","","","","",""
"VİRAJ EMLAK KİRALIK TERASLI 2+1  70 m D.GAZLI BUCA MERKEZ","16.500 TL","98587-1450","10-10-2024","Daire","2 + 1","70 m2","3. Kat","8 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","","","","","","","16.500 TL","","","","Evet","","","",""
"ER YAPI EMLAK OFİSİNDEN HASANAĞA BAHÇESİ ve İİBF CİVARI 2+1","16.000 TL","68864-2413","15-10-2024","Daire","2 + 1","65 m2","2. Kat","5 Yaşında","Klima","3 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"ŞİRİNYER İZBAN YAKINI 3+1 DOĞALGAZLI EŞYALI KİRALIK DAİRE","16.000 TL","102557-428","13-10-2024","Daire","3 + 1","160 m2","5. Kat","26 Yaşında","Kombi","5 Katlı","Eşyalı","1","","","Boş","","","","","","","","","Uygun değil","","",""
"2 yıl süre kiralık daire","24.000 TL","0-43245329","30-08-2024","Daire","3 + 1","135 m2","Yüksek Giriş","31 Yaşında","Kombi","1 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Mülk Sahibi","","","Kuzey","","Doğalgaz","","","","","","",""
"HASANAĞA PARKİ YANİNDA 3+1 KİRALİK DAİRE","17.000 TL","14003-1468","02-10-2024","Daire","3 + 1","130 m2","Giriş Katı","30 Yaşında","Klima","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","","Elektrik","","","","","","",""
"SAFİR'den Kampüs Karşısı Eşyalı Kapalı Mutfak 1+1 Kiralık Daire","16.000 TL","109159-265","18-10-2024","Daire","1 + 1","55 m2","1. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","","Güney, Doğu","","","","","","Uygun değil","","",""
"MARKA'DAN H.AHMET YESEVİ CD. ÜZERİ EŞYALI&KLİMALI KİRALIK DAİRE","16.500 TL","71024-1029","19-10-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Klima","4 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
"BUCA ÜÇKUYULAR'DA 3+1 İÇİ FULL YAPILI  KİMALI D.GAZLI GENİŞ LÜKS DAİRE","27.000 TL","111716-1051","09-10-2024","Daire","3 + 1","150 m2","4. Kat","12 Yaşında","Kombi","4 Katlı","","2","","","Boş","","","Kuzey, Güney, Doğu","27.000 TL","","","","","","","",""
"Buca Hasanağa Parkına Yürüme Mesafesinde 2+0 Eşyalı Kiralık Daire","18.000 TL","51456-7180","05-10-2024","Daire","2 + 1","55 m2","Ara Kat","8 Yaşında","Kombi","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","75 TL","","18.000 TL","Doğalgaz","","","","","","",""
"ÖZPA - ŞİRİNYER İZBANDA DOĞALGAZLI AÇIK OTOPARKLI  TEMİZ 1+1 KİRALIK DAİRE","15.000 TL","25220-1898","18-10-2024","Daire","1 + 1","55 m2","3. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","100 TL","Doğu","15.000 TL","Doğalgaz","","","Evet","","","",""
"DOKUZ EYLÜL ÜNİVERSİTESİ YAKINI KİRALIK EŞYALI...","13.500 TL","0-43446556","03-10-2024","Daire","2 + 1","55 m2","Zemin","18 Yaşında","Klima","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","300 TL","","13.500 TL","Elektrik","","","","","","",""
"BUCA-TINAZTEPE'DE KİRALIK 1+1 EŞYALI DAİRE","13.000 TL","143815-176","11-10-2024","Daire","1 + 1","55 m2","1. Kat","6 Yaşında","Kombi","1 Katlı","Eşyalı","1","","İkinci El","Boş","","","","13.000 TL","Doğalgaz","","","Evet","","","",""
"PARİSADAN HAVUZLU SİTE İÇİNDE EŞYALI KİRALIK 1+1","16.500 TL","143816-8","03-10-2024","Daire","1 + 1","55 m2","Giriş Katı","5 Yaşında","Kombi","7 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","1.65 TL","Doğu, Batı","","","","","","Uygun değil","My Via Plus","",""
"İ.B.F Yürüme Mesafesi 2+1 Sıfır Eşyalı 80m² Kiralık Daire","22.000 TL","144696-73","11-10-2024","Daire","2 + 1","85 m2","Bahçe Katı","10 Yaşında","Klima","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","200 TL","Güney","22.000 TL","Elektrik","","","Evet","","","",""
"VİRAJ EMLAK 3+1 150m D.GAZLI ARA KAT GENİŞ ODALI ATATÜRK MAH BUCA","22.500 TL","98587-1451","10-10-2024","Daire","3 + 1","155 m2","2. Kat","10 Yaşında","Kombi","4 Katlı","","2","","","","","","","22.500 TL","","","","Evet","","","",""
"KURUÇEŞME'DE FULL EŞYALI KİRALIK 1+1 DAİRE","16.000 TL","142478-101","18-10-2024","Daire","1 + 1","55 m2","Yüksek Giriş","5 Yaşında","Klima","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","100 TL","","","","","","","Uygun değil","","",""
"Kiralık 3+1 Arakat Doğalgazlı","20.000 TL","82933-241","17-08-2024","Daire","3 + 1","120 m2","3. Kat","25 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","100 TL","Kuzey, Güney, Doğu, Batı","20.000 TL","Doğalgaz","","","Evet","","","",""
"İZMİR BUCA BUCAKOOP","22.000 TL","37745-1815","26-08-2024","Daire","3 + 1","120 m2","3. Kat","25 Yaşında","Kombi","8 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","200 TL","","20.000 TL","Doğalgaz","","","Evet","","","",""
"-AY GAYRİMENKUL'DEN- İNÖNÜ MH. 2+1 UYGUN KİRALIK DAİRE!","12.450 TL","144455-56","27-09-2024","Daire","2 + 1","100 m2","4. Kat","11 Yaşında","Soba","4 Katlı","Eşyalı Değil","1","","","Boş","","100 TL","Güney, Batı","","","","","","Uygun değil","","",""
"BARIŞ MAH ECEVİT PARKİ YANİNDA 3+1 KİRALİK DAİRE","18.000 TL","14003-1482","03-10-2024","Daire","3 + 1","130 m2","2. Kat","25 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","","","","Doğalgaz","","","","","","",""
